edibility,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
poisonous,convex,scaly,brown,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,black,scattered,urban
edible,convex,scaly,yellow,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,numerous,grasses
edible,bell,scaly,white,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,numerous,meadows
poisonous,convex,smooth,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,black,scattered,urban
edible,convex,scaly,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,purple,purple,white,one,evanescent,brown,abundant,grasses
edible,convex,smooth,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,black,numerous,grasses
edible,bell,scaly,white,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,black,numerous,meadows
edible,bell,smooth,white,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,meadows
poisonous,convex,smooth,white,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,black,several,grasses
edible,bell,scaly,yellow,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,black,scattered,meadows
edible,convex,smooth,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,numerous,grasses
edible,convex,smooth,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,black,scattered,meadows
edible,bell,scaly,yellow,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,grasses
poisonous,convex,smooth,white,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,purple,purple,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,brown,solitary,urban
edible,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,purple,purple,white,one,evanescent,brown,abundant,grasses
poisonous,convex,scaly,brown,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,black,scattered,grasses
poisonous,convex,smooth,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,urban
poisonous,convex,scaly,brown,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,urban
edible,bell,scaly,yellow,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,meadows
poisonous,convex,smooth,brown,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,brown,several,grasses
edible,bell,smooth,yellow,yes,anise,free,close,broad,black,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,meadows
edible,bell,smooth,white,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,numerous,meadows
edible,bell,scaly,white,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,black,scattered,meadows
poisonous,flat,scaly,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,brown,several,grasses
edible,convex,smooth,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,numerous,meadows
edible,convex,smooth,white,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,black,solitary,urban
edible,convex,scaly,yellow,yes,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,purple,purple,white,one,pendant,brown,several,wood
edible,bell,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,numerous,meadows
poisonous,convex,smooth,white,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,urban
edible,convex,smooth,yellow,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,numerous,meadows
edible,convex,smooth,brown,yes,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,purple,purple,white,one,pendant,brown,solitary,paths
edible,bell,smooth,yellow,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,yes,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,purple,purple,white,one,pendant,brown,several,wood
edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,black,several,urban
poisonous,convex,smooth,brown,yes,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,urban
edible,convex,fibrous,yellow,yes,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,purple,purple,white,one,pendant,brown,several,wood
edible,bell,scaly,yellow,yes,anise,free,close,broad,black,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,brown,scattered,grasses
edible,convex,smooth,yellow,yes,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,purple,purple,white,one,pendant,black,solitary,paths
edible,convex,fibrous,brown,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,black,solitary,urban
poisonous,convex,smooth,white,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,purple,purple,white,one,pendant,brown,several,grasses
edible,convex,scaly,yellow,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,purple,purple,white,one,pendant,black,numerous,meadows
